loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti
3600,3600,3600.0,36,6.03,109.57,A,A1,10,MORTGAGE,110000.0,Not Verified,Dec-11,Fully Paid,major_purchase,10.52
6000,6000,6000.0,36,11.71,198.46,B,B3,1,MORTGAGE,84000.0,Verified,Dec-11,Fully Paid,medical,18.44
9200,9200,9200.0,36,6.03,280.01,A,A1,6,RENT,77385.19,Not Verified,Dec-11,Fully Paid,debt_consolidation,9.86
20250,20250,19142.16108,60,15.27,484.63,C,C4,3,RENT,43370.0,Verified,Dec-11,Fully Paid,debt_consolidation,26.53
21000,21000,21000.0,36,12.42,701.73,B,B4,10,RENT,105000.0,Verified,Dec-11,Charged Off,debt_consolidation,13.22
10000,10000,10000.0,36,11.71,330.76,B,B3,10,OWN,50000.0,Source Verified,Dec-11,Fully Paid,credit_card,11.18
10000,10000,10000.0,36,11.71,330.76,B,B3,5,RENT,50000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,16.01
6000,6000,6000.0,36,11.71,198.46,B,B3,1,RENT,76000.0,Not Verified,Dec-11,Charged Off,major_purchase,2.4
15000,15000,15000.0,36,9.91,483.38,B,B1,2,MORTGAGE,92000.0,Verified,Dec-11,Fully Paid,credit_card,29.44
5000,5000,5000.0,60,16.77,123.65,D,D2,2,RENT,50004.0,Not Verified,Dec-11,Charged Off,other,13.97
4000,4000,4000.0,36,11.71,132.31,B,B3,10,MORTGAGE,106000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,5.63
8500,8500,8500.0,36,11.71,281.15,B,B3,1,RENT,25000.0,Source Verified,Dec-11,Fully Paid,credit_card,12.19
4375,4375,4375.0,36,7.51,136.11,A,A3,7,MORTGAGE,17108.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,20.34
31825,31825,31825.0,36,7.9,995.82,A,A4,5,MORTGAGE,75000.0,Verified,Dec-11,Fully Paid,debt_consolidation,14.03
10000,10000,9975.0,60,15.96,242.97,C,C5,2,RENT,29120.0,Verified,Dec-11,Current,debt_consolidation,22.83
5000,5000,5000.0,36,8.9,158.77,A,A5,2,RENT,24044.0,Verified,Dec-11,Fully Paid,debt_consolidation,11.93
7000,7000,7000.0,36,15.96,245.97,C,C5,7,RENT,34000.0,Source Verified,Dec-11,Fully Paid,credit_card,6.35
12400,12400,12400.0,36,10.65,403.91,B,B2,10,RENT,41000.0,Not Verified,Dec-11,Fully Paid,credit_card,11.8
10800,10800,10800.0,36,9.91,348.03,B,B1,2,RENT,55596.0,Source Verified,Dec-11,Fully Paid,moving,5.5
15000,15000,15000.0,36,7.9,469.36,A,A4,1,RENT,45000.0,Verified,Dec-11,Fully Paid,debt_consolidation,8.48
6000,6000,6000.0,36,12.42,200.5,B,B4,1,RENT,36852.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,10.62
12500,12500,12475.0,60,12.69,282.44,B,B5,1,RENT,27000.0,Verified,Dec-11,Current,debt_consolidation,16.04
9600,9600,9600.0,36,7.51,298.67,A,A3,4,RENT,68004.0,Source Verified,Dec-11,Fully Paid,other,6.63
12000,12000,12000.0,36,7.9,375.49,A,A4,10,RENT,62300.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,16.7
3000,3000,3000.0,36,18.25,108.84,D,D5,9,MORTGAGE,65000.0,Not Verified,Dec-11,Fully Paid,other,17.39
4400,4400,4400.0,36,16.77,156.37,D,D2,10,RENT,55000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,20.01
6000,6000,6000.0,36,6.03,182.62,A,A1,10,MORTGAGE,45600.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,5.34
14000,14000,14000.0,36,9.91,451.15,B,B1,6,RENT,80000.0,Not Verified,Dec-11,Fully Paid,small_business,10.0
5000,5000,5000.0,36,8.9,158.77,A,A5,10,MORTGAGE,100000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.33
10000,10000,10000.0,36,10.65,325.74,B,B2,6,RENT,27000.0,Verified,Dec-11,Fully Paid,other,11.47
10000,10000,10000.0,36,6.03,304.36,A,A1,10,RENT,60000.0,Not Verified,Dec-11,Fully Paid,credit_card,12.74
11000,11000,11000.0,36,6.62,337.75,A,A2,5,RENT,70000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,10.85
15000,15000,15000.0,36,9.91,483.38,B,B1,8,MORTGAGE,80000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,9.12
25600,25600,25350.0,36,9.91,824.96,B,B1,9,RENT,110000.0,Verified,Dec-11,Fully Paid,credit_card,15.71
7000,7000,7000.0,36,10.65,228.02,B,B2,1,RENT,40000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,7.38
12000,12000,12000.0,36,15.96,421.65,C,C5,4,RENT,50000.0,Not Verified,Dec-11,Charged Off,car,20.88
12000,12000,12000.0,36,9.91,386.7,B,B1,1,RENT,46000.0,Not Verified,Dec-11,Fully Paid,credit_card,8.11
21000,21000,20975.0,60,19.91,555.33,E,E4,7,RENT,50000.0,Verified,Dec-11,Charged Off,debt_consolidation,21.58
16000,16000,15950.0,60,19.91,423.11,E,E4,7,RENT,81000.0,Verified,Dec-11,Fully Paid,credit_card,20.52
10000,10000,10000.0,36,12.42,334.16,B,B4,1,OWN,39000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,18.58
10000,10000,10000.0,36,10.65,325.74,B,B2,2,RENT,51400.0,Not Verified,Dec-11,Fully Paid,credit_card,19.14
7100,7100,7100.0,36,16.77,252.33,D,D2,1,MORTGAGE,33000.0,Verified,Dec-11,Fully Paid,debt_consolidation,24.0
13000,13000,13000.0,60,12.69,293.74,B,B5,1,MORTGAGE,30000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,13.72
17500,8950,8925.0,60,17.27,223.74,D,D3,6,RENT,40000.0,Verified,Dec-11,Fully Paid,small_business,19.47
17675,17675,17675.0,60,14.65,417.25,C,C3,1,RENT,50000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,16.46
8000,8000,8000.0,36,16.77,284.31,D,D2,1,RENT,62000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,21.64
10000,10000,9975.0,60,10.65,215.69,B,B2,10,RENT,45996.0,Verified,Dec-11,Charged Off,debt_consolidation,21.73
3500,3500,3500.0,36,10.65,114.01,B,B2,7,MORTGAGE,55000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,5.39
12500,8925,8925.0,60,17.27,223.11,D,D3,5,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,13.16
16425,16425,16425.0,36,14.27,563.53,C,C2,4,RENT,44544.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,22.71
8200,8200,8200.0,60,21.28,223.14,F,F2,4,RENT,75000.0,Source Verified,Dec-11,Charged Off,small_business,12.48
15000,15000,15000.0,36,14.65,517.42,C,C3,2,OWN,61000.0,Verified,Dec-11,Fully Paid,credit_card,11.88
20975,13575,13550.0,60,17.58,341.63,D,D4,5,MORTGAGE,44000.0,Verified,Dec-11,Fully Paid,credit_card,18.79
6400,6400,6400.0,36,16.77,227.45,D,D2,5,RENT,75000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.22
3000,3000,3000.0,36,13.49,101.8,C,C1,1,RENT,33600.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,18.11
12000,12000,12000.0,36,16.77,426.47,D,D2,3,RENT,50000.0,Not Verified,Dec-11,Fully Paid,credit_card,20.57
14400,14400,14400.0,36,8.9,457.25,A,A5,1,OWN,150000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,14.85
12000,12000,12000.0,36,14.65,413.94,C,C3,10,RENT,90000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,16.56
11000,11000,11000.0,36,13.49,373.24,C,C1,10,MORTGAGE,48000.0,Verified,Dec-11,Fully Paid,debt_consolidation,21.82
7250,7200,7175.0,60,21.67,197.51,F,F3,1,RENT,75000.0,Verified,Dec-11,Fully Paid,debt_consolidation,24.82
15000,15000,15000.0,36,7.9,469.36,A,A4,1,MORTGAGE,52000.0,Not Verified,Dec-11,Fully Paid,small_business,9.65
18000,18000,18000.0,60,19.91,475.99,E,E4,10,MORTGAGE,65000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,6.81
35000,22075,22050.0,60,17.27,551.84,D,D3,3,MORTGAGE,150000.0,Verified,Dec-11,Fully Paid,home_improvement,7.51
10000,10000,10000.0,36,14.27,343.09,C,C2,2,RENT,68000.0,Source Verified,Dec-11,Fully Paid,credit_card,15.39
11800,11800,11800.0,36,12.69,395.83,B,B5,6,RENT,42000.0,Source Verified,Dec-11,Fully Paid,credit_card,9.86
4500,4500,4500.0,36,6.03,136.96,A,A1,4,RENT,53000.0,Source Verified,Dec-11,Fully Paid,major_purchase,4.44
7000,7000,7000.0,36,12.69,234.82,B,B5,10,RENT,35000.0,Source Verified,Dec-11,Fully Paid,credit_card,11.35
9200,9200,9200.0,36,12.42,307.43,B,B4,2,RENT,60000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,19.96
14000,14000,13975.0,60,17.27,349.98,D,D3,4,RENT,28000.0,Verified,Dec-11,Current,other,6.34
4500,4500,4475.0,60,10.65,97.06,B,B2,1,MORTGAGE,42000.0,Source Verified,Dec-11,Fully Paid,car,5.4
12000,12000,12000.0,36,16.29,423.61,D,D1,9,RENT,88365.0,Verified,Dec-11,Fully Paid,debt_consolidation,16.85
12000,12000,12000.0,36,13.49,407.17,C,C1,4,RENT,72000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,21.33
12000,12000,12000.0,36,10.65,390.88,B,B2,1,RENT,62000.0,Verified,Dec-11,Fully Paid,credit_card,23.94
7000,7000,7000.0,36,10.65,228.02,B,B2,3,MORTGAGE,43680.0,Not Verified,Dec-11,Fully Paid,credit_card,5.38
8200,8200,8200.0,60,19.42,214.62,E,E3,3,RENT,120000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,2.8
10500,10500,10500.0,36,12.69,352.23,B,B5,10,RENT,66000.0,Verified,Dec-11,Fully Paid,medical,20.73
7000,7000,7000.0,36,11.71,231.54,B,B3,4,OWN,39120.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,21.01
15300,15300,15275.0,60,22.06,423.1,F,F4,6,RENT,85000.0,Verified,Dec-11,Current,credit_card,20.58
20000,12800,12775.0,60,11.71,282.86,B,B3,4,MORTGAGE,47800.0,Verified,Dec-11,Fully Paid,debt_consolidation,10.04
17500,17500,17500.0,60,17.27,437.47,D,D3,7,MORTGAGE,45000.0,Not Verified,Dec-11,Charged Off,credit_card,21.31
3500,3500,3500.0,36,6.03,106.53,A,A1,10,MORTGAGE,83000.0,Verified,Dec-11,Fully Paid,car,2.31
6000,6000,6000.0,60,12.69,135.57,B,B5,1,RENT,81000.0,Source Verified,Dec-11,Current,major_purchase,13.66
6200,6200,6200.0,36,9.91,199.8,B,B1,2,RENT,25000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.64
16000,16000,16000.0,60,17.58,402.65,D,D4,7,RENT,65000.0,Not Verified,Dec-11,Current,debt_consolidation,15.56
6000,6000,6000.0,36,8.9,190.52,A,A5,8,OWN,28800.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,13.17
7200,7200,7200.0,36,9.91,232.02,B,B1,6,RENT,135000.0,Not Verified,Dec-11,Fully Paid,credit_card,6.12
9500,9500,9500.0,36,8.9,301.66,A,A5,7,MORTGAGE,50000.0,Not Verified,Dec-11,Fully Paid,credit_card,8.18
18825,18825,18800.0,60,16.77,465.53,D,D2,10,RENT,38000.0,Verified,Dec-11,Charged Off,debt_consolidation,23.18
24000,24000,24000.0,36,10.65,781.76,B,B2,10,RENT,45000.0,Verified,Dec-11,Fully Paid,debt_consolidation,14.8
6000,6000,6000.0,36,13.49,203.59,C,C1,10,RENT,80000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,11.58
6000,6000,6000.0,36,13.49,203.59,C,C1,5,RENT,50000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,15.38
2100,2100,2100.0,36,12.42,70.18,B,B4,10,MORTGAGE,30000.0,Not Verified,Dec-11,Fully Paid,vacation,19.72
5500,5500,5500.0,36,6.62,168.88,A,A2,8,MORTGAGE,110000.0,Verified,Dec-11,Fully Paid,small_business,9.69
11000,11000,11000.0,36,6.62,337.75,A,A2,8,OWN,45608.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,20.5
26800,26800,26800.0,60,20.89,723.38,F,F1,3,MORTGAGE,120000.0,Verified,Dec-11,Fully Paid,debt_consolidation,12.15
8000,8000,8000.0,36,12.69,268.36,B,B5,5,MORTGAGE,35000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,10.05
10000,10000,10000.0,36,18.25,362.78,D,D5,1,RENT,75000.0,Source Verified,Dec-11,Charged Off,credit_card,24.14
8000,8000,8000.0,36,11.71,264.61,B,B3,9,MORTGAGE,35000.0,Verified,Dec-11,Fully Paid,credit_card,9.7
10000,10000,10000.0,36,8.9,317.54,A,A5,6,RENT,24000.0,Verified,Dec-11,Fully Paid,debt_consolidation,7.0
12000,12000,12000.0,36,11.71,396.92,B,B3,2,MORTGAGE,126000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,13.32
10000,10000,10000.0,36,7.9,312.91,A,A4,1,RENT,43000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,25.26
12000,12000,12000.0,36,9.91,386.7,B,B1,1,RENT,50000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,16.44
25000,25000,23088.16106,60,13.49,575.12,C,C1,10,MORTGAGE,67000.0,Verified,Dec-11,Charged Off,credit_card,14.15
19750,19750,19725.0,36,10.65,643.33,B,B2,4,RENT,45000.0,Verified,Dec-11,Charged Off,debt_consolidation,22.8
10000,10000,10000.0,36,9.91,322.25,B,B1,3,RENT,31200.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,14.81
13650,13650,13650.0,36,12.42,456.12,B,B4,4,RENT,66000.0,Verified,Dec-11,Fully Paid,debt_consolidation,24.09
28000,11800,11775.0,60,19.91,312.04,E,E4,10,RENT,52000.0,Verified,Dec-11,Charged Off,debt_consolidation,20.7
18000,18000,18000.0,36,7.9,563.23,A,A4,10,RENT,56964.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,27.55
2500,2500,2500.0,36,14.27,85.78,C,C2,7,RENT,49500.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,10.33
21000,21000,20120.80657,60,20.3,559.89,E,E5,10,RENT,70000.0,Verified,Dec-11,Fully Paid,credit_card,23.21
35000,35000,35000.0,36,8.9,1111.37,A,A5,6,MORTGAGE,125000.0,Verified,Dec-11,Fully Paid,debt_consolidation,22.71
10000,10000,10000.0,36,7.51,311.11,A,A3,3,RENT,33000.0,Not Verified,Dec-11,Fully Paid,credit_card,9.75
7000,7000,7000.0,36,12.69,234.82,B,B5,1,RENT,30000.0,Source Verified,Dec-11,Fully Paid,credit_card,15.8
24000,24000,24000.0,36,15.96,843.3,C,C5,8,MORTGAGE,90000.0,Source Verified,Dec-11,Charged Off,home_improvement,9.17
10625,10625,10625.0,36,7.51,330.56,A,A3,5,MORTGAGE,23000.0,Not Verified,Dec-11,Fully Paid,medical,18.89
5000,5000,5000.0,36,14.65,172.48,C,C3,2,RENT,24000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,18.3
8850,8850,8850.0,36,6.62,271.73,A,A2,10,RENT,62000.0,Source Verified,Dec-11,Fully Paid,credit_card,17.71
6375,6375,6375.0,36,7.51,198.34,A,A3,4,RENT,44000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,4.8
6000,6000,6000.0,36,11.71,198.46,B,B3,1,RENT,90000.0,Not Verified,Dec-11,Fully Paid,credit_card,2.97
11100,11100,11100.0,36,6.62,340.82,A,A2,10,RENT,41000.0,Verified,Dec-11,Charged Off,credit_card,29.85
10000,10000,10000.0,60,12.69,225.95,B,B5,2,MORTGAGE,56000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,10.82
6200,6200,6200.0,36,6.03,188.71,A,A1,5,MORTGAGE,26500.0,Not Verified,Dec-11,Fully Paid,small_business,18.2
15000,15000,15000.0,36,18.64,547.12,E,E1,1,RENT,54000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,19.69
4200,4200,4200.0,36,11.71,138.92,B,B3,2,RENT,53000.0,Not Verified,Dec-11,Fully Paid,other,16.91
14000,14000,14000.0,36,14.27,480.33,C,C2,4,RENT,52800.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,7.36
8875,8875,8875.0,36,7.51,276.11,A,A3,1,MORTGAGE,38000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,23.53
13500,13500,13500.0,36,9.91,435.04,B,B1,7,RENT,38000.0,Verified,Dec-11,Fully Paid,debt_consolidation,12.38
12000,12000,12000.0,36,9.91,386.7,B,B1,2,RENT,42000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,7.83
16000,16000,15975.0,60,19.91,423.11,E,E4,4,RENT,55000.0,Verified,Dec-11,Fully Paid,debt_consolidation,15.8
21600,21600,20498.26578,60,19.42,565.32,E,E3,8,MORTGAGE,60000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,16.74
6000,6000,6000.0,36,10.65,195.44,B,B2,6,MORTGAGE,87000.0,Not Verified,Dec-11,Fully Paid,home_improvement,12.86
8450,8450,8425.0,60,16.77,208.97,D,D2,5,OWN,25000.0,Verified,Dec-11,Fully Paid,debt_consolidation,22.51
20000,20000,18590.33777,60,13.49,460.1,C,C1,1,RENT,82000.0,Not Verified,Dec-11,Fully Paid,credit_card,17.68
10000,10000,10000.0,36,11.71,330.76,B,B3,8,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,22.08
12000,12000,12000.0,36,16.29,423.61,D,D1,5,MORTGAGE,80000.0,Verified,Dec-11,Fully Paid,credit_card,18.18
13475,13475,13450.0,60,13.49,309.99,C,C1,10,RENT,25000.0,Verified,Dec-11,Charged Off,credit_card,21.89
7200,7200,7200.0,36,12.42,240.59,B,B4,5,RENT,48000.0,Not Verified,Dec-11,Fully Paid,major_purchase,17.43
5600,5600,5600.0,36,14.65,193.17,C,C3,1,MORTGAGE,85000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,12.24
12000,12000,11975.0,36,14.27,411.71,C,C2,1,RENT,57000.0,Verified,Dec-11,Fully Paid,debt_consolidation,10.86
8500,8500,8500.0,36,6.03,258.71,A,A1,2,RENT,25000.0,Not Verified,Dec-11,Fully Paid,credit_card,1.73
8000,8000,8000.0,36,9.91,257.8,B,B1,2,RENT,34000.0,Source Verified,Dec-11,Fully Paid,credit_card,18.28
8000,8000,8000.0,36,12.42,267.33,B,B4,10,RENT,40000.0,Not Verified,Dec-11,Fully Paid,credit_card,15.0
16000,16000,8150.0,60,15.27,382.92,C,C4,10,RENT,42656.4,Source Verified,Dec-11,Fully Paid,debt_consolidation,17.44
15000,15000,15000.0,36,17.27,536.81,D,D3,2,MORTGAGE,44400.0,Source Verified,Dec-11,Fully Paid,house,3.59
10000,10000,10000.0,36,9.91,322.25,B,B1,2,OWN,30000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,11.24
10000,10000,10000.0,36,6.62,307.04,A,A2,5,MORTGAGE,70000.0,Not Verified,Dec-11,Fully Paid,credit_card,16.78
8000,8000,8000.0,36,14.65,275.96,C,C3,3,RENT,28000.0,Not Verified,Dec-11,Fully Paid,car,12.6
22000,22000,22000.0,36,9.91,708.95,B,B1,2,MORTGAGE,50000.0,Verified,Dec-11,Fully Paid,debt_consolidation,13.22
6000,6000,6000.0,36,14.27,205.86,C,C2,10,MORTGAGE,94800.0,Verified,Dec-11,Fully Paid,car,24.53
16000,16000,15975.0,60,9.91,339.25,B,B1,10,OWN,40000.0,Verified,Dec-11,Fully Paid,debt_consolidation,9.39
13500,13500,13500.0,36,9.91,435.04,B,B1,2,MORTGAGE,36000.0,Source Verified,Dec-11,Fully Paid,credit_card,22.93
25000,25000,25000.0,36,12.42,835.39,B,B4,2,RENT,225000.0,Verified,Dec-11,Fully Paid,debt_consolidation,8.32
10000,10000,10000.0,36,13.49,339.31,C,C1,2,RENT,45900.0,Verified,Dec-11,Fully Paid,small_business,24.97
2500,2500,2500.0,36,13.49,84.83,C,C1,4,RENT,27200.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,6.44
7325,7325,7325.0,36,12.69,245.72,B,B5,1,RENT,42000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,22.57
4000,4000,4000.0,36,12.42,133.67,B,B4,5,RENT,135000.0,Verified,Dec-11,Fully Paid,credit_card,12.12
10000,10000,10000.0,36,13.49,339.31,C,C1,5,RENT,65000.0,Not Verified,Dec-11,Charged Off,small_business,6.92
7750,7750,7750.0,36,17.27,277.36,D,D3,1,RENT,24000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,16.1
20000,20000,20000.0,60,20.89,539.84,F,F1,6,RENT,70000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.63
9600,9600,9600.0,36,12.42,320.79,B,B4,10,RENT,65000.0,Verified,Dec-11,Fully Paid,debt_consolidation,11.65
21000,21000,21000.0,60,11.71,464.07,B,B3,3,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,6.62
14000,14000,14000.0,36,10.65,456.03,B,B2,3,RENT,30000.0,Source Verified,Dec-11,Fully Paid,credit_card,15.52
13350,13350,13350.0,36,12.42,446.1,B,B4,10,RENT,43000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,20.57
15000,15000,15000.0,36,16.77,533.08,D,D2,10,RENT,42000.0,Verified,Dec-11,Charged Off,debt_consolidation,19.63
15000,15000,15000.0,36,17.27,536.81,D,D3,8,RENT,75000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.03
11000,11000,10750.0,60,13.49,253.06,C,C1,10,MORTGAGE,129000.0,Verified,Dec-11,Current,debt_consolidation,10.94
35000,35000,35000.0,36,10.65,1140.07,B,B2,2,MORTGAGE,168000.0,Verified,Dec-11,Fully Paid,debt_consolidation,3.17
9000,9000,9000.0,36,10.65,293.16,B,B2,9,MORTGAGE,74000.0,Source Verified,Dec-11,Fully Paid,credit_card,8.89
22475,22475,22425.0,60,15.27,537.87,C,C4,7,MORTGAGE,52000.0,Verified,Dec-11,Fully Paid,debt_consolidation,15.23
16000,16000,16000.0,36,12.69,536.72,B,B5,1,RENT,58500.0,Source Verified,Dec-11,Charged Off,debt_consolidation,20.64
13500,13500,13500.0,36,12.69,452.86,B,B5,5,RENT,71000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,11.97
24000,24000,24000.0,36,12.69,805.08,B,B5,10,RENT,75000.0,Verified,Dec-11,Fully Paid,debt_consolidation,11.6
12000,12000,12000.0,36,10.65,390.88,B,B2,5,RENT,60000.0,Not Verified,Dec-11,Fully Paid,credit_card,10.84
8400,8400,8150.0,60,16.77,207.73,D,D2,5,RENT,87996.0,Not Verified,Dec-11,Fully Paid,major_purchase,11.35
28000,28000,27975.0,60,17.58,704.64,D,D4,5,MORTGAGE,140000.0,Verified,Dec-11,Fully Paid,home_improvement,12.07
14000,14000,14000.0,36,6.62,429.86,A,A2,10,RENT,66000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,11.15
12000,12000,12000.0,36,14.27,411.71,C,C2,8,MORTGAGE,70000.0,Not Verified,Dec-11,Charged Off,other,8.4
25000,25000,25000.0,36,11.71,826.9,B,B3,10,MORTGAGE,100000.0,Verified,Dec-11,Fully Paid,debt_consolidation,6.88
9000,9000,9000.0,36,12.69,301.91,B,B5,5,RENT,50000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,17.81
13250,13250,13250.0,36,10.65,431.6,B,B2,4,RENT,35000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,24.93
20000,20000,20000.0,36,13.49,678.61,C,C1,6,RENT,75000.0,Verified,Dec-11,Fully Paid,debt_consolidation,22.38
3000,3000,3000.0,36,14.65,103.49,C,C3,5,RENT,71000.0,Verified,Dec-11,Fully Paid,medical,21.84
7350,7350,7350.0,36,10.65,239.42,B,B2,10,MORTGAGE,48000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,11.93
11500,11500,11500.0,36,15.27,400.18,C,C4,5,RENT,36000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,21.1
13650,13650,13650.0,36,12.42,456.12,B,B4,10,MORTGAGE,86000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,12.29
10500,10500,10500.0,36,16.29,370.66,D,D1,3,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,15.0
12000,12000,11975.0,36,9.91,386.7,B,B1,2,RENT,60000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,15.5
6000,6000,6000.0,36,8.9,190.52,A,A5,3,RENT,34000.0,Not Verified,Dec-11,Fully Paid,credit_card,14.51
11500,11500,11500.0,36,15.27,400.18,C,C4,10,MORTGAGE,44200.0,Verified,Dec-11,Fully Paid,credit_card,21.69
7000,7000,7000.0,36,12.42,233.91,B,B4,7,MORTGAGE,82000.0,Not Verified,Dec-11,Fully Paid,debt_consolidation,12.0
29500,29500,28513.45925,60,20.3,786.51,E,E5,6,MORTGAGE,83000.0,Source Verified,Dec-11,Fully Paid,debt_consolidation,20.93
